description,requirements,stages,delivery_time,start_date,end_date
"В ходе работ было установлено в общей сложности 7 ветряных генераторов мощностью 5,56 МВт, общая мощность которых в текущем периоде составила 38,92 МВт, в результате чего было построено 110 кВт-литр в течение первого периода работы винта. Станция давления. На стенде установлена 110kV 100 MVA, а на проводе - линейная переменная.","Этот тендер будет состоять из первого сегмента: кузов. Поставки включают в себя 7 коробок, 1 систему контроля за безопасностью коробок и оборудование для приложений, запасные части, специальные инструменты и т.д. Конкретная сфера охвата и требования к тендерной документации регулируются техническими инструкциями по тендерной документации.",четыре сегмента: 1-й пункт: кузов; 2-й участок: горная гора Гуанси; 3-й пункт: 5-й армейский пул; Четвертое место: Хелунцзяна.,"Предварительный 15 августа 2023 года; срок окончательной поставки был подтвержден покупателем до производства оборудования без подтверждения покупателя, производство не должно начинаться самостоятельно.",15.08.2023,
"Закупка оборудования для фотоаппаратов УНИТА в Китае. Разбивка пунктов: 2 пунктов
1-й пункт: оборудование для станций C и D;
Второй пункт: оборудование для станций F и G.","Участники торгов предоставили три комплекта камер (2 станция подъемного давления на ветряной электростанции C и 1 станция подъемного давления на ветряной площадке D), в том числе мощную камеру,
Конструкция системы охлаждения, системы онлайнового мониторинга, смазочных материалов и оборудования для очистки масла, а также отбор всех компонентов оборудования в рамках поставок
Типы, производство, разработка программного обеспечения, предоставление соответствующей графической и технической информации, испытания (включая испытания на заводе, испытания на заводе), пакеты
Оборудование, транспортировка оборудования, проверка ящиков на месте, руководство по установке на месте, отладке и испытанию на месте, участие в вводе в эксплуатацию, приемка системы и эксплуатация
Профессиональная подготовка, послепродажное обслуживание и т.д.",2,до 10.06.2023,,
Общий контрактный проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне разделен на два пакета из четырех.,"Проект охватывает 250 000 кВт (с точки обмена) в радиусе 1 млн. кВт для проекта фотоэлектрического хранения в округе Лоуп. Строительные работы в полном объеме, включая, но не ограничиваясь ими, следующие элементы: закупка оборудования и материалов (за исключением А), установка, погрузочно-разгрузочные машины и склады материалов (включая палубу), оборудование и материалы (включая палубу), фотоэлектрические поля (включая 35 кВ-электрические линии, поле) оборудование и установка оборудования, испытания и приемка оборудования, полная емкость станции и безопасность сети на 240 часов, консультирование участников торгов по вопросам проверки качества, приемки и проверки электросетей и т.д., а также проверки качества оборудования, технологий и послепродажной одежды обслуживание, завершение всех работ, связанных с приемкой и проверкой, а также запасные части (оборудование категории B), специальные инструменты, расходные материалы - предоставление соответствующей технической информации. Строительство водных ресурсов, источников энергии для строительства, сети для размещения в районе фотоэлектрического строительного комплекса, строительство дорог и строительство инспекции, размещение домовладельцев и инспекторов, закупка заборов и строительство забора, а также координация всех работ после передачи объекта, которые должны быть выполнены участниками торгов ответственность за всю работу.",четыре сегмента,,15.08.2023,30.12.2023
"Строительство электростанций и их вспомогательных сооружений; строительство электростанций 2, 3 и 4; строительство дренажных отверстий и плотин.","Конкурсы на проведение строительных работ по генеральному подряду, включая строительство, закупку, отладку, приемку и обслуживание в рамках проекта.",347 календарных дней,347,28.02.2023,10.02.2024
"установка RX на АЭС << Янцзян >> (DMR001PR) и установка 1/2/5/6 (DMW115PA) - акселераторы, ретрансформаторы или трансмиссионные серии ABB серии ACS800, которые были использованы в связи с прекращением производства оборудования марки. Перестройка.","Установка, отладка и другие связанные с этим услуги для удовлетворения технических потребностей, предоставления документов, испытания, перевозки контейнеров и технической поддержки","Проект должен быть реализован во время капитального ремонта блока, в каждом из которых кольцевой трансформатор реконструкция должна быть завершена в течение 4 дней, а после завершения должна быть гарантирована, что кольца могут использоваться в нормальном режиме.","Оборудование, необходимое для модернизации каждого блока, должно быть доставлено на место за 30 дней до проведения капитального ремонта.",2027.2.1,2026.2.1
,,,2024-09-30,,
,,,2024-12-31,,
"проект SK
Содержание и сфера охвата тендера: данный тендер не делится на сегменты, которые будут включать четыре системы пожарной безопасности JAC, необходимые для строительства SK
Конструкция, поставка и обслуживание насосов, включая установку необходимых специализированных инструментов, запасных частей и расходных материалов, необходимых для выполнения контракта
Соответствующая документация, услуги технической поддержки на местах и обучение, запасные части SO являются вариантами контракта. Конкретная сфера охвата и требования к тендерной документации
Квази.","четыре системы пожарной безопасности JAC, необходимые для строительства SK
Конструкция, поставка и обслуживание насосов, включая установку необходимых специализированных инструментов, запасных частей и расходных материалов, необходимых для выполнения контракта
Соответствующая документация, услуги технической поддержки на местах и обучение, запасные части SO являются вариантами контракта.",1,15.01.2026 - 15.11.2026,15.01.2026,15.11.2026
"закупка оборудования для эксплуатации и тестирования топлива в рамках проекта SK LOT123A, а также необходимых запасных частей, расходуемых
Продукция, специализированные инструменты, документация, упаковка, транспорт, испытания, подготовка по оказанию услуг на местах и т.д. Запасные части для СО являются вариантами контракта. Конкретные торги
Сфера охвата и требования основываются на положениях документа о посещении программ.",,,2026-08-31,,
"данный тендерный проект не делится на сегменты тендера, которые включают в себя: функциональное проектирование и производство двух кранов. Производство, испытание и испытание, поставка, упаковка, транспортировка, установка и отладка, существующая инфраструктура и орбиты, а также драйверы - проведение оценки ядра, ремонтно-восстановительных работ по демонтажу и обезвреживанию бывшего оборудования. Два портативных крана, которые предлагается демонтировать, имеют массу 25 тонн и 20 тонн - 16 и 9 метров. Предлагается закупить и установить два портативных крана с грузоподъемностью 40 тонн и большой колеей 16 метров и 9 метров соответственно. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,"120 дней с момента подписания контракта на поставку оборудования, а также сроки установки и т.д.",,
,,,,,
"Закупка потребностей в исследованиях и разработках для проекта экспериментальной платформы электрической реле для защиты электрической реле, которая в основном предусматривала проведение научно-исследовательского проекта","Программа включает общие требования к проектированию, материалам, изготовлению оборудования, проверке, испытанию, идентификации, оценке и контролю за документацией. Услуги или предметы Поставщики (далее ""В""), помимо требований настоящего Технического регламента, должны отвечать существующим стандартам в стране и отрасли.","в ходе конкурса было разработано 7 сканеров и комплектов для сканирования аптечек, шкафов и т.д., а также предложено Услуги по установке и отладке аппаратного обеспечения.",138 календарных дней,15.08.2023,31.12.2023
,,,2024-3-28,,2023-11-30
С 2023 по 2024 гг. были собраны матрицы фотоэлектрических компонентов.,"Данный тендерный проект разделен на семь пунктов:
2023 - 2024 рамки фотоэлектрических компонентов (1)
Основы фотоэлектрических компонентов с 2023 по 2024 гг.
2023 - 2024 рамки фотоэлектрических компонентов (3 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (4 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (5 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (6 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (7 шт)",7,,,
"Проект масштаба: проект в 269-м цехе на улице Шатта, муниципалитет Шедадэ, провинция Гуандун, 110-метровая, 26-метровая, гау
11 м), три блокировки занимают площадь около 450 м2, один этаж здания.","Проект строительства радиационного облучения в Шатине, в частности:
- глубина грунта: 2 м, заполнение;
База: 4 крыльца для блокировки, столбы с диаметром 500 мм, действительные столбы длиной не менее 10 метров, общая корневая корня 1070; на рисунке
квази.
Контейнеры: 4 клапана для блокировки, 3 предзаряда для блокировки, строительство, ремонт, дренаж, электротехника,
Отопительные работы, контрольные камеры, озоноразрушающие газопроводы и т.д.",114 календарных дней,,,
"Проект по производству фотоэлектрической энергии в Чиллоне, Северный Китай, Хинцин, с земельными участками, имеющими общий сельскохозяйственный характер, для использования в сельском хозяйстве дополнительных форм строительства. Местоположение Пинги расположено между 108,86682 ° восточной долготы, 22,15221 ° северной широты и 30 м - 75 м над уровнем моря, к которому принадлежит Пенлеан. Деревня и село Джулин находятся под юрисдикцией примерно в 30 км от города Чин. Пинги-литровая станция должна быть выбрана на промежуточном участке в Пинги. Вместимость 79,932 МВт для прямых боковых погрузчиков проекта составляет 58,2 МВт. Каждые 28 фотовольтных компонентов образуют одну группу. 27 групп, подключенных к блоку 300 кВт, в зависимости от емкости коробки, каждый 4-10 ретрансформаторов подключается к коробке соответствующей емкости. В равнинной зоне установлена двусторонняя монокристаллическая кремния 545 Вт фотовольтная сборка 146664, блоки 300 кВт 194, ящик 1600 кВА изменить 4 ящика, 2000kVA 5, 2500kVA 9 и 3150kVA 8.","Электронный контракт на проектные работы <<ЭПК>> включает, но не ограничивается: проектирование и строительство, оборудование, материалы, связанные с завершением проекта закупка, транспортировка и управление материалами; подготовка и строительство всех инженерно-строительных работ; установка и отладка оборудования; все приемочные работы; передача и период гарантий внутренний дизайн, закупки и строительные работы. 240 часов от начала работы до достижения полной пропускной способности станции и безопасности сети (включает сетевые и инспектируемые процедуры и соглашения о контроле за перевозками, а также расходы, связанные с этим процессом, дефолт, эксплуатационные испытания, проверка, техническое обслуживание и послепродажное обслуживание, завершение всех работ, связанных с завершением приемки, и покрытие соответствующих расходов (пожарная регистрация и приемка, проверка, оценка и инспектирование минной опасности, проверка безопасности труда и гигиены труда, электроэнергоснабжение и тестирование сети) получение и сетевое тестирование, проверка безопасности, выверка мощности и проверка качества энергии (включая испытания на способность к управлению работой, испытания на неуправляемость) инспекции, испытания пропускной способности при низком давлении, испытания пропускной способности при высоком давлении, адаптационные (частота, электрическое давление) и т.д., расчет значений, все тестирование и испытания и т.д.) и электрическое оборудование УКВ, включая запасные части, специализированные инструменты, маркеры, которые должны быть переданы в ходе инженерного переключения предоставление знаков, расходных материалов и соответствующей технической информации, закупка ограждения и строительство, топографическая съемка, регистрация компенсационных выплат, помещения вся работа, связанная с координацией после передачи (включая координацию экспедиции на временные проходы на стройплощадку, ответственность за экспедицию по воздуху и на временной основе для участников торгов) очистка строительного участка и воздушно-посадочной полосы и компенсация для питомников, включая формальное оформление, - все участники торгов должны нести ответственность за работу в рамках вышеуказанной работы. Срок полномочий.","Проектная граница этого сегмента будет состоять из фотоэлектрической зоны, линий электропередачи (включая установку и связь между терминалом кабельного кабеля и шкафом для переключателей). Соединение оптических кабелей с оборудованием на станциях подъемного давления, линии внешней доставки, подъемные станции, боковые интервалы (включая станции <<Лун-Бей>> и <<Сухой домик>>), установка, установка отладка и приемка.",220,10.04.2023,20.11.2023
"каждые 10 лет на АЭС должны проводиться испытания корпуса безопасности (CTT), если перед испытанием напряжения будет проведен большой ремонт
В этой деятельности используется большое количество химических веществ, которые могут привести к пожару во время испытаний CTT. В связи с техническим улучшением проект требует, чтобы стороны-подрядчики в CTT
Экспериментальная скорость подъема до 400 (или 800) мбар/ч (ранее 150 мбар/час) в соответствии с моделью реактора и летучестью, предоставленными альфа-
Входы, рассчитанные на основе таких составов, рассчитаны на моделирование летучих скоплений около 15 химических веществ в корпусах безопасности, на основе химических веществ, находящихся в различных условиях
Получение летучих концентраций для определения безопасности взрыва.","ответ, предоставленный в соответствии с апертурой, в случае испытания CTT со скоростью 400 (или 800) мбар/ч
Ввода, рассчитанные на модели компостирования и летучие ингредиенты, рассчитаны на имитацию 15-ти химических веществ, летучих в корпусах безопасности, на основе различных работ
В результате скопления химических веществ для определения безопасности взрыва.",,,,30.10.2023
"в рамках проекта было построено 10 крупных производственных зданий на трех электростанциях в заливе Гранд-Азия, в общей сложности 4667,3803m, из которых DG1MX и DG2MX - 5824.775m, DGPX - 4017.3523m, DGTB - 2702m, PL1MX и PL2MX - 5824.775m, PLPX - 2475,248m; PK1MX и PK2MX - 5895m и PKPX - 2383,68m соответственно.","данный проект будет включать в себя MX, PX и TB-объекты АЭС Большого залива. MX, PX, MX и PX, MX и PX-комнатная панель на атомных электростанциях Linga, в общей сложности 10 металлических панелей (включая дочерей) Внутренняя сторона стены, оконные окна и оконные линии) повышает конструкцию и повышает уровень защиты от тайфуна 15 уровня. В соответствии с выводами, сделанными по результатам оценки устойчивости к ветряным панелям на атомных электростанциях в Большом заливе, ни один из основных зданий не является достаточным. Противостояние тайфунам 15-го уровня требует обновления крыши, укрепления системы стенки и завершения проектно-конструкторских работ. Запланировать и установить в период строительства Подсчитано, что работа ведется вместе с строительным подразделением.","Проект разделен на несколько этапов, включая обновление крыши, укрепление системы стенки и завершение проектно-конструкторских работ.",Срок действия проектных услуг составляет,01.10.2022,31.12.2022
"проектный модуль водородного кислорода для проекта << Гуандун >>, проект по проектированию, закупке, изготовлению, проверке оборудования, необходимого для установки водородного кислорода
Проверка, испытание, установка и отладка необходимых специализированных инструментов, запасных частей и расходных материалов, уборка, документация, упаковка, транспорт, технические услуги на местах и профессиональная подготовка.
Оборудование включает водородные кислородные комплексы, компрессоры, огнезащитные устройства, измерительные устройства, газовые сухие устройства, газовые охлаждающие устройства, газовые фильтры и т.д. Конкретная сфера охвата и
В зависимости от положений тендерной документации.",,,2025-2-28,,
,,,,,
